Site,Country,Longitude,Latitude,Type
1,China,116.17,42.02,grassland
2,China,118.52,32.01,cropland
3,China,107.44,37.81,grassland
4,China,112.99,28.13,woodland
5,Spain,-3.45,40.25,cropland
6,China,124.47,43.29,cropland
7,China,113.51,34.2,cropland
8,China,111.29,28.54,cropland
9,China,115.51,39.27,cropland
10,China,119.27,29.01,cropland
11,China,107.88,35.28,cropland
12,Canada,-80.23,43.38,cropland
13,China,99.35,37.02,grassland
14,America,-96.42,41.17,cropland
15,Germany,8.654,50.6,cropland
16,Italy,11.18,46.25,woodland
17,China,112.99,34.92,cropland
18,America,-88.5,35.37,cropland
19,China,107.54,22.38,cropland
20,China,114.41,37.53,cropland
21,China,112.1,23.1,woodland
22,China,83.43,42.7,grassland
23,China,111.53,41.46,grassland
24,China,107.13,37.42,grassland
25,China,107.75,23.17,cropland
26,China,120.42,42.55,grassland
27,China,107.4,35.12,cropland
28,China,123.33,40.48,cropland
29,China,87.75,43.88,grassland
30,China,127.38,41.42,woodland
31,China,117.17,34.16,cropland
32,China,122.86,52.94,woodland
33,China,118.58,37.45,grassland
34,China,87.76,45.16,grassland
35,China,111.45,36.18,woodland
36,China,126.35,45.4,cropland
37,China,108.16,30.4,woodland
38,China,108.02,34.18,cropland
39,America,-85.22,42.23,cropland
40,China,119.43,29.19,cropland
41,Canada,-111.34,64.52,woodland
42,China,117.93,36.93,cropland
43,China,100.57,36.55,grassland
44,China,126.35,45.4,cropland
45,China,85.48,44.2,cropland
46,China,97.18,33.24,grassland
47,China,125.88,45.26,cropland
48,China,115.04,26.45,woodland
49,China,114.43,35.01,cropland
50,China,106.86,37.57,grassland
51,China,116.16,42.01,grassland
52,China,116.87,42.42,grassland
53,China,116.71,42.38,grassland
54,China,117.27,42.48,grassland
55,China,117.26,42.46,grassland
56,America,-96.35,39.05,grassland
57,China,100.1,27,grassland
58,Australia,151.14,-27.73,grassland
59,"	Switzerland	",8.54,47.11,grassland
60,Australia,117.61,-31.78,grassland
61,South Africa,30.4,-29.67,grassland
62,South Africa,30.29,-29.28,grassland
63,South Africa,30.72,-29.81,grassland
